Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Austin,25,Supportive Housing,Menard Apartments,334 N. Menard Ave.,60644,773-572-5272,The Thresholds,57,1137606.415,1901816.665,41.88672742,-87.77013329,"(41.8867274207, -87.7701332901)"
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,1139038.208,1898825.974,41.87849467,-87.76494803,"(41.8784946733, -87.7649480305)"
Austin,25,Multifamily,Rebecca Walker Complex,223-9 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139130.076,1898499.873,41.87759814,-87.76461864,"(41.8775981392, -87.7646186402)"
Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139234.68,1898405.584,41.8773375,-87.76423685,"(41.8773374951, -87.7642368505)"
Austin,25,Multifamily,Congress Commons LLC,504 S. Laramie Ave.,60644,773-287-1592,Congress Commons LLC,161,1141766.818,1897120.686,41.87376512,-87.7549712,"(41.873765121, -87.7549712034)"
Austin,25,Senior HUD 202,Enola A. Dew Senior Apartments,4623 W. Gladys Ave.,60644,773-287-2972,"Prairie Management & Development, Inc.",60,1145481.111,1897910.062,41.87586178,-87.74131396,"(41.8758617765, -87.7413139552)"
Austin,25,Senior HUD 202,Elois McCoy Village Apartments,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,1145250.308,1897655.195,41.87516676,-87.74216784,"(41.875166755, -87.7421678378)"
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,1140544.652,1904774.781,41.89479143,-87.75927048,"(41.8947914314, -87.7592704828)"
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,1185587.742,1853564.459,41.75332086,-87.5954564,"(41.7533208609, -87.5954564009)"
Belmont Cragin,19,ARO,TBD,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development ,3,1138569.742,1918921.633,41.93364805,-87.7661803,"(41.9336480472, -87.7661803002)"
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.174,1914216.383,41.92079101,-87.77747755,"(41.9207910105, -87.7774775508)"
Belmont Cragin,19,Senior,Senior Suites of Kelvyn Park,2715 N. Cicero Ave.,60639,773-252-0333,Senior Lifestyle Corp.,85,1143963.795,1917674.647,41.93012657,-87.74638854,"(41.9301265688, -87.7463885389)"
Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,60639,773-385-9080,Lester and Rosalie Anixter Center,17,1142340.781,1912865.659,41.91696054,-87.75247249,"(41.916960542, -87.7524724894)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.409,1886029.528,41.84272915,-87.64624727,"(41.8427291512, -87.6462472701)"
Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,72,1184284.153,1850796.894,41.74575696,-87.60031991,"(41.7457569581, -87.6003199107)"
Chatham,44,Senior,Senior Suites of Chatham,8300 S. Cottage Grove Ave.,60619,773-488-1333,Senior Lifestyle Corp.,90,1182964.716,1850099.444,41.74387382,-87.60517616,"(41.743873821, -87.6051761606)"
Chicago Lawn,66,Senior,Lawn Terrace Independent  Living Apartments,3214 W. 63rd Place,60629,773-925-0815,Greater Southwest Dev. Corp.,102,1155938.092,1862375.031,41.77814486,-87.70387541,"(41.7781448626, -87.7038754099)"
Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,60629,773-432-8420,Senior Lifestyle Corp.,93,1160293.922,1855122.446,41.75815411,-87.68810611,"(41.7581541131, -87.6881061075)"
Chicago Lawn,66,Senior,Churchview Manor Independent Living,2626 W. 63rd St.,60629,773-925-0730,Greater Southwest Dev. Corp.,60,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.7792809902, -87.6896794864)"
Chicago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,60629,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.7792809902, -87.6896794864)"
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176967.12,1879322.168,41.82420114,-87.62627123,"(41.8242011421, -87.6262712265)"
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,1176708.767,1881091.479,41.82906211,-87.62716568,"(41.8290621083, -87.6271656778)"
Douglas,35,Multifamily,Park Boulevard IIA,3604 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176845.915,1881076.382,41.82901759,-87.62666295,"(41.8290175865, -87.6266629487)"
Douglas,35,Multifamily,Park Boulevard IIA,3612 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176848.892,1880973.883,41.82873626,-87.62665512,"(41.8287362552, -87.6266551179)"
Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176856.611,1880678.422,41.82792531,-87.62663572,"(41.8279253109, -87.6266357171)"
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1176805.951,1881719.108,41.83078218,-87.62679018,"(41.8307821806, -87.6267901762)"
Douglas,35,Multifamily,Park Boulevard IIB,3633 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176929.888,1880943.186,41.82865019,-87.62635888,"(41.8286501893, -87.6263588794)"
Douglas ,35,Multifamily,Park Boulevard IIB,10 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176772.49,1880503.014,41.82744587,-87.62694964,"(41.8274458746, -87.6269496359)"
Douglas ,35,Mutifamily,Park Boulevard IIB,15 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176697.68,1880416.049,41.82720892,-87.62722672,"(41.8272089226, -87.6272267219)"
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,1176529.6,1880409.309,41.82719422,-87.62784358,"(41.8271942191, -87.6278435793)"
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,1179206.472,1887158.196,41.84565291,-87.61781639,"(41.8456529118, -87.617816391)"
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,60653,773-420-4100,Pioneer Gardens Senior Housing,120,1179441.358,1879836.399,41.825556,-87.61717842,"(41.8255559976, -87.6171784181)"
Douglas,35,Senior,Pioneer Village Apartments,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,1179348.36,1879907.496,41.82575322,-87.61751743,"(41.8257532207, -87.6175174282)"
Dunning,17,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129,1129981.018,1927628.484,41.95769221,-87.79754403,"(41.9576922115, -87.7975440334)"
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,1153978.229,1900741.035,41.88346519,-87.71003991,"(41.8834651917, -87.7100399091)"
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts ,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.678,1899627.529,41.88041381,-87.71084273,"(41.8804138115, -87.7108427298)"
East Garfield Park,27,Senior,Heritage Woods of Chicago,2800 W. Fulton St.,60612,773-722-2900,BMA Management Ltd.,113,1157640.848,1901927.155,41.88664623,-87.69655814,"(41.8866462303, -87.696558136)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,1153790.485,1896268.991,41.87119717,-87.71084842,"(41.8711971734, -87.7108484249)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV ,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1152480.61,1895702.738,41.86966928,-87.71567245,"(41.8696692769, -87.7156724506)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,1152413.693,1896087.181,41.87072555,-87.71590797,"(41.8707255523, -87.7159079717)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI ,3609 W. Arthington St.,60624,773-722-7320,Realty & Mortgage Co.,52,1152417.178,1895758.869,41.86982456,-87.71590385,"(41.8698245594, -87.7159038458)"
East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,60612,773-638-6490,Deborah's Place ,90,1157527.975,1898606.336,41.87753589,-87.69706305,"(41.8775358858, -87.6970630483)"
East Garfield Park,27,Supportive Housing,East Park Apartments,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1154287.339,1900828.13,41.88369802,-87.7089025,"(41.8836980221, -87.7089025002)"
East Garfield Park,27,Multifamily,Liberty Square Apartments,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1151407.461,1896705.24,41.87244138,-87.71958599,"(41.8724413776, -87.7195859945)"
Edgewater,77,Multifamily,Winthrop Apartments,6214 N. Winthrop Ave.,60660,773-477-7070 ext. 16,Hunter Properties,108,1167688.709,1941496.368,41.99501546,-87.65851604,"(41.9950154576, -87.6585160357)"
Edgewater,77,Senior,Hollywood House Apartments,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,93,1168565.916,1938087.01,41.9856411,-87.65538854,"(41.9856410954, -87.6553885441)"
Edgewater,77,Senior,Pomeroy Apartments,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1168181.124,1937918.4,41.98518678,-87.65680868,"(41.9851867755, -87.656808677)"
Edgewater,77,Multifamily,Bell Shore Apartments,1062 W. Bryn Mawr Ave.,60660,773-334-5407,Holsten Management Corp.,105,1167941.813,1937401.257,41.9837729,-87.65770384,"(41.9837729037, -87.6577038394)"
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,140,1175681.092,1861260.691,41.77466762,-87.6315302,"(41.7746676247, -87.6315301982)"
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,1175444.813,1860492.084,41.77256377,-87.63241932,"(41.7725637689, -87.6324193182)"
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1173046.575,1864479.47,41.78355891,-87.6410929,"(41.7835589092, -87.6410928975)"
Englewood,68,Supportive Housing,Rowan Trees Apartments,500 W. Englewood Ave.,60621,773-572-5272,The Thresholds,167,1174002.16,1863521.643,41.78090936,-87.63761782,"(41.7809093636, -87.637617817)"
Englewood,68,Supportive Housing,Englewood Apartments,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,1171373.661,1863023.368,41.77959999,-87.64726896,"(41.7795999913, -87.6472689598)"
Englewood,68,Supportive Housing,Branch of Hope Apartments,5628-30 S. Halsted Ave.,60621,773-488-7205,Evergreen Real Estate LLC,99,1171893.839,1867410.662,41.79162782,-87.64523321,"(41.7916278176, -87.6452332087)"
Englewood,68,Supportive/Veterans,Hope Manor II Apartments,60th/Halsted,60621,773-874-3610,Voluinteers of America Illinois,73,,,,,
Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,60609,773-924-5980,"East Lake Management Group, Inc.",100,1175183.479,1871367.582,41.80241312,-87.63305258,"(41.8024131184, -87.6330525826)"
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1155572.425,1865354.407,41.78632805,-87.70513618,"(41.786328045, -87.705136175)"
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,1129403.745,1864822.912,41.78535412,-87.801098,"(41.7853541249, -87.8010979955)"
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,44th/Indiana,60653,773-268-5326,Indiana Manor Townhomes,87,,,,,
Grand Boulevard,38,Multifamily,Hearts United Phase I - The Langston,41st St. - 44th St. ,60653,773-538-3800,Bonheur Realty Services Corp.,65,,,,,
Grand Boulevard,38,Multifamily,Hearts United Phase II - The Quincy,E. Evans - W. Vincennes,60653,773-538-3800,Bonheur Realty Services Corp.,116,,,,,
Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,60614,773-975-7234,CMHDC/Progressive NFP/Kass Management,107,1177483.246,1873312.722,41.80769903,-87.62455959,"(41.8076990345, -87.6245595889)"
Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,60653,773-268-4642,"East Lake Management Group, Inc.",24,1179612.436,1876628.605,41.81674964,-87.61664895,"(41.8167496439, -87.6166489475)"
Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,60653,773-924-7700,Tri-Mart Management Co. ,65,1177858.686,1875634.197,41.81406086,-87.62311222,"(41.8140608614, -87.6231122243)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.8203495003, -87.6165141095)"
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1178406.437,1871882.896,41.80375452,-87.62121706,"(41.8037545212, -87.6212170565)"
Grand Boulevard,38,Senior HUD 202,Margaret Ford Manor Independent Living,4500 S. Wabash Ave.,60653,773-924-9171,"HSR Property Services, LLC",63,1177427.156,1875236.623,41.81297966,-87.62470713,"(41.8129796596, -87.6247071273)"
Grand Boulevard,38,Senior,Cornerstone/Evans Langley,4907 S. St. Lawrence Ave.,60615,773-548-9211,"Metroplex, Inc.",60,1181127.01,1872564.798,41.80556343,-87.61121843,"(41.805563433, -87.6112184342)"
Grand Boulevard,38,Multifamily,Legends South - Hansberry Square,4034 S. State St.,60609,773-548-8800,Interstate Realty Management Co.,45,1176907.636,1878122.623,41.82091083,-87.62652565,"(41.8209108342, -87.6265256539)"
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,181,1178081.875,1876584.156,41.81666257,-87.62226472,"(41.816662565, -87.6222647175)"
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,110,1178573.52,1877831.629,41.82007455,-87.6204233,"(41.820074554, -87.6204232972)"
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-624-7676,Interstate Realty Management Co.,118,1176982.246,1875311.407,41.81319493,-87.6263368,"(41.8131949278, -87.6263367998)"
Grand Boulevard,38,Multifamily,Bronzeville Family Apartments,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.8203495003, -87.6165141095)"
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,1180131.926,1873998.52,41.80952057,-87.61482402,"(41.8095205688, -87.614824016)"
Grand Boulevard,38,Senior,Bronzeville Senior Apartments,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,1180219.199,1877957.214,41.82038154,-87.61438244,"(41.8203815435, -87.6143824354)"
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,1176891.268,1858664.434,41.76751603,-87.62717205,"(41.7675160252, -87.6271720535)"
Greater Grand Crossing,69,Artist Housing,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60619,773-324-2270,Leasing & Management Co. Inc.,32,1187273.42,1858913.338,41.76795883,-87.58910953,"(41.7679588345, -87.5891095264)"
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333 ext. 1,Senior Lifestyle Corp.,116,1201038.059,1815487.733,41.64845741,-87.54012317,"(41.6484574114, -87.540123166)"
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,1154880.603,1904286.639,41.89317664,-87.70663122,"(41.8931766425, -87.7066312185)"
Humboldt Park,23,Supportive Housing,Humboldt Park Residences ,1152 N. Christiana Ave.,60647,773-276-5338 ext. 225,LUCHA,69,1153731.441,1907707.148,41.9025858,-87.71076053,"(41.9025857989, -87.7107605283)"
Humboldt Park,23,Multifamily,Bloomingdale Apartments,1745 N. Keystone Ave.,60639,773-276-2965,Village Green Management Co.,48,1149146.636,1911465.939,41.91299036,-87.72750391,"(41.9129903623, -87.7275039055)"
Humboldt Park,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153823.719,1911621.628,41.91332565,-87.71031714,"(41.9133256466, -87.7103171384)"
Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program ,3507 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",35,1152641.115,1910367.063,41.9099065,-87.71469504,"(41.9099064976, -87.7146950394)"
Humboldt Park,23,Multifamily,Madres Unidas scattered,3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,1152271.525,1910359.241,41.90989234,-87.71605298,"(41.9098923382, -87.7160529794)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.525,1910359.241,41.90989234,-87.71605298,"(41.9098923382, -87.7160529794)"
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apartments,18,1154584.663,1907840.061,41.90293349,-87.70762292,"(41.9029334898, -87.7076229238)"
Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,60651,773-227-6332,Bickerdike Apartments,9,1154314.32,1907834.526,41.90292371,-87.7086161,"(41.902923708, -87.7086160992)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,3215 W. Huron St.,60624,773-227-6332,Bickerdike Apartments,6,1154724.086,1904442.811,41.89360833,-87.70720187,"(41.8936083276, -87.7072018666)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apartments,6,1154625.793,1904362.102,41.89338882,-87.70756503,"(41.8933888222, -87.707565028)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apartments,6,1152648.978,1903805.805,41.89190162,-87.71483993,"(41.8919016207, -87.714839929)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,521 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apartments,6,1152991.429,1903446.155,41.89090793,-87.71359179,"(41.8909079269, -87.7135917923)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,526 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apartments,12,1152910.964,1903460.212,41.8909481,-87.71388693,"(41.8909480951, -87.7138869273)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,532 N. Trumbull Ave.,60624,773-227-6332,Bickerdike Apartments,15,1153240.184,1903567.266,41.89123533,-87.71267502,"(41.8912353311, -87.7126750163)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apartments,27,1153649.603,1903659.52,41.89148035,-87.71116895,"(41.891480351, -87.7111689514)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,3341 W. Ohio St.,60624,773-227-6332,Bickerdike Apartments,16,1153814.924,1903755.65,41.89174085,-87.71055924,"(41.8917408493, -87.7105592395)"
Humboldt Park,23,Supportive/Veterans,Hope Manor Apartments,3053 W. Franklin Blvd.,60612,773-475-6703,Volunteers of America Illinois,50,1155690.801,1903132.153,41.88999235,-87.70368677,"(41.8899923467, -87.7036867659)"
Hyde Park,41,Multifamily,Hyde Park Apartments,5330 S. Harper Ave.,60615,773-955-2610,"DRE, Inc.",36,1187148.234,1870068.251,41.79857178,-87.58921454,"(41.7985717841, -87.5892145402)"
Jefferson Park,11,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,60630,773-775-7333,Senior Lifestyle Corp.,73,1136226.971,1935211.185,41.97839039,-87.77439957,"(41.9783903918, -87.7743995653)"
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites) .,4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,1183149.455,1874094.41,41.80971394,-87.60375337,"(41.8097139386, -87.6037533683)"
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,60653,773-624-4901,MLG Management,39,1182801.325,1873991.948,41.80944088,-87.60503342,"(41.8094408765, -87.6050334227)"
Lakeview ,6,Senior,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,60657,773-525-1501,"RRG Development, Inc.",155,1165704.848,1921625.294,41.94053116,-87.66638261,"(41.9405311557, -87.6663826053)"
Lakeview ,6,Supportive,Buffet Place,3208 N. Shefield Ave.,60657,312-572-5272,Thresholds,51,1169002.943,1921540.76,41.94022814,-87.65426349,"(41.9402281368, -87.6542634882)"
Lakeview ,6,Senior LGBTQ,Town Hall Apartments,3600 N. Halsted St.,60613,773-472-6463,Heartland Houing Inc.,79,1170240.93,1924164.847,41.94740174,-87.64963658,"(41.947401735, -87.6496365844)"
Logan Square,22,Multifamily,Rev. Daniel Alvarez Apts.,2451-57 N. Sacramento Ave.,60612,773-772-4063,Hispanic Housing Dev. Corp.,96,1155995.815,1916357.844,41.92627863,-87.70220924,"(41.926278629, -87.7022092387)"
Logan Square,22,Senior,Renaissance West,2517 W. Fullerton Ave.,60647,773-862-2500,Renaissance Realty Group Inc.,41,1159142.563,1915828.561,41.9247621,-87.69066098,"(41.9247620985, -87.6906609777)"
Logan Square,22,Multifamily,Zapata Apartments,3230 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,100,1154370.985,1913144.88,41.91749465,-87.70826581,"(41.9174946519, -87.7082658078)"
Logan Square,22,Multifamily,Zapata Apartments,3503 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,12,1152897.634,1913030.193,41.91720928,-87.71368201,"(41.9172092811, -87.713682006)"
Logan Square,22,Multifamily,Zapata Apartments,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,1152977.196,1913047.516,41.91725524,-87.71338923,"(41.9172552391, -87.7133892335)"
Logan Square,22,Multifamily,Zapata Apartments,3734 W. Cortland St.,60647,773-227-6332,Bickerdike Apartments,30,1151016.257,1912402.357,41.91552353,-87.72061073,"(41.9155235348, -87.720610728)"
Loop,32,Multifamily,Randolph Tower City Apartments (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,1174747.572,1901307.252,41.88457966,-87.63375683,"(41.884579663, -87.6337568335)"
Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,63,1168646.297,1890365.991,41.85469028,-87.65647821,"(41.8546902787, -87.6564782084)"
Lower West Side,31,Multifamily,Casa Guerrero,963 W Cullerton St.,60608,312-666-1323,The Resurrection Project,52,1170238.806,1890555.169,41.8551748,-87.65062753,"(41.8551748018, -87.6506275348)"
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,1165132.943,1890827.827,41.85603287,-87.66936057,"(41.8560328733, -87.6693605655)"
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1170051.208,1890349.587,41.85461476,-87.65132209,"(41.8546147585, -87.6513220922)"
Lower West Side,31,Multifamily,Casa Chiapas,1712 W. 17th St.,60608,312-666-1323,The Resurrection Project,72,1165119.373,1891824.739,41.85876878,-87.66938208,"(41.8587687803, -87.6693820787)"
Lower West Side,31,Multifamily,Casa Morelos,2015 S. Morgan St.,60608,312-666-1323,The Resurrection Project,4,1170049.336,1890417.784,41.85480194,-87.65132697,"(41.8548019389, -87.6513269744)"
Lower West Side,31,Multifamily,Casa Tabasco ,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,45,1168646.297,1890365.991,41.85469028,-87.65647821,"(41.8546902787, -87.6564782084)"
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,60608,312-666-1323,The Resurrection Project,4,1170202.356,1891062.313,41.85656724,-87.65074652,"(41.8565672424, -87.6507465232)"
