Longitude,Latitude,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX
-123.036696,44.936372,2270,OR011,Housing Authority of the City of Salem,5035886368,5035886465,ddonaho@cityofsalem.net,5035874819,5035886465,awilch@cityofsalem.net,High Performer,MEDIUM LOW (100-299),3087,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Sep,Combined,245,245,245,236,2662,2898,87.23999786,8,3322,2973,100,853128,923716,482754,482147,0,0,632,612,3275,11.02999973,15.85999966,98.58999634,11556,41,Marion,47,200,3,3049
-123.014502,44.961531,2303,OR014,Marion County Housing Authority,5037984170,5037984171,jfritz@co.marion.or.us,5035885212,,jfritz@co.marion.or.us,Standard Performer,VERY SMALL (0-49),1182,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,4,4,4,0,1007,1007,85.19000244,4,1182,873,86.69000244,0,0,0,0,0,0,510,481,931,13.93000031,11.35999966,98.73999786,12000,41,Marion,47,300,1,1002
-122.989542,45.524111,2328,OR022,Housing Authority of Washington County,5038464794,5038464795,washco_housing@co.washington.or.us,5038464755,5038464795,val_valfre@co.washington.or.us,Substandard Financial,MEDIUM LOW (100-299),2803,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Combined,243,243,243,241,2631,2872,94.29000092,2,3046,2939,100,689296,771480,522641,522514,0,0,868,789,2618,13.26000023,18.70999908,99.05000305,12246,41,Washington,67,32604,3,3012
-122.934744,46.128575,3824,WA007,Housing Authority City of Longview,3604230140,3604259930,chris.pegg@hoswwa.org,3604230140,3604259930,chris.pegg@hoswwa.org,,,1405,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Sep,Section 8,0,0,0,0,1307,1307,93.02999878,0,1405,1348,100,0,0,0,0,0,0,588,570,808,16.46999931,30.12999916,98.80999756,9744,53,Cowlitz,15,2100,1,1011
-122.886151,47.038447,3499,WA049,HA Of Thurston County,3607538292,3605860038,ChrisL@hatc.org,3609185827,3605860038,ChrisL@hatc.org,,,2096,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1846,1846,89.79000092,0,2056,1982,100,0,0,0,0,0,0,768,749,1450,12.71000004,27.40999985,99.75,10320,53,Thurston,67,10300,3,3069
-122.884952,42.350729,3257,OR015,Housing Authority of Jackson County,5417795785,5418571118,jason@hajc.net,5416228435,5418571118,Jason@hajc.net,Standard Performer,VERY SMALL (0-49),2255,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,0,0,0,0,2095,2095,97.20999908,0,2155,2022,96.51999664,82871,82871,0,0,0,0,568,560,1475,13.34000015,19.81999969,98.22000122,11490,41,Jackson,29,300,2,2035
-122.834863,46.000682,3822,WA019,HA City of Kalama,3606733444,8556781825,kalamadirector@comcast.net,3606733444,8556781825,kalamadirector@comcast.net,Standard Performer,VERY SMALL (0-49),0,VERY SMALL (0-49),VERY SMALL (0-49),30-Jun,Low-Rent,0,0,0,0,0,0,0,0,0,0,-4,59525,54214,22606,22606,0,0,-4,-4,-4,-4,-4,-4,-4,53,Cowlitz,15,1600,4,4011
-122.735388,38.456744,2121,CA085,COUNTY OF SONOMA,7075657500,7075657583,martha.cheever@sonoma-county.org,7075657505,7075657557,Margaret.VanVliet@sonoma-county.org,,,2820,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,2703,2703,95.84999847,0,2820,2549,94.30000305,0,0,0,0,0,0,867,881,1183,28.23999977,20.62999916,99.05999756,13332,6,Sonoma,97,153001,1,1003
-122.71238,38.438563,2120,CA088,CITY OF SANTA ROSA,7075433316,7075433317,dgouin@srcity.org,7075433300,7075433317,dgouin@ci.santa-rosa.ca.us,,,1873,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1671,1671,89.75,0,1862,1888,100,0,0,0,0,0,0,1202,1759,791,24.78000069,25.77000046,98.62000275,12888,6,Sonoma,97,152000,1,1038
-122.686248,48.217589,3272,WA024,HA Of Island County,3606784181,3606786969,teria@islandcountyha.org,3606784181,3606786969,teria@islandcountyha.org,High Performer,MEDIUM LOW (100-299),289,MEDIUM LOW (100-299),MEDIUM HIGH (300-999),30-Sep,Combined,110,110,110,107,210,317,79.44999695,3,399,321,100,234082,244736,137241,131935,0,0,608,595,115,27.20000076,29.39999962,98.75,11184,53,Island,29,971000,1,1046
-122.68074,47.650674,3409,WA036,Kitsap County Consolidated Housing Auth,3605356100,3605356107,GroganS@HousingKitsap.org,3605356142,3605356107,GroganS@HousingKitsap.org,Substandard Financial,MEDIUM LOW (100-299),374,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Jun,Combined,136,136,136,129,311,440,86.26999664,6,510,432,98.18000031,368577,385736,210932,201402,0,0,596,592,354,13.69999981,23.29999924,99.54000092,11904,53,Kitsap,35,91204,1,1005
-122.671649,45.639467,3757,WA008,Housing Authority of the City of Vancouver,3606942501,3606948369,rjohnson@vhausa.com,3609939500,,rjohnson@vhausa.com,Advisory,VERY SMALL (0-49),2841,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,0,0,0,0,2474,2474,87.08999634,0,2841,2968,100,203281,286457,464257,447653,0,0,858,780,2424,18.34000015,21.03000069,90.73000336,12289,53,Clark,11,42300,2,2000
-122.671605,45.52196,2269,OR002,Housing Authority of Portland,5038028300,5038028573,info@homeforward.org,5038028455,5038028488,Michael.Buonocore@homeforward.org,,"LARGE (1,000-4,999)",9319,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",31-Dec,Combined,3007,2993,2101,2056,8744,10800,96.44000244,34,11199,11124,100,10053873,10984152,4138435,4137430,0,0,742,665,8965,13.60000038,18.85000038,94.16999817,9694,41,Multnomah,51,10600,3,3009
-122.648296,38.957651,2138,CA144,Lake County Housing Commission,7079953744,7079942642,lakesection8@dss.co.lake.ca.us,7079954200,7079954253,lakesection8@dss.co.lake.ca.us,,,224,MEDIUM LOW (100-299),MEDIUM LOW (100-299),30-Jun,Section 8,0,0,0,0,219,219,97.76999664,0,224,273,100,0,0,0,0,0,0,841,822,160,14.31000042,28.04999924,100,10980,6,Lake,33,802,2,2010
-122.629995,47.567365,3274,WA003,Housing Authority of the City of Bremerton,3604793694,3606168558,kwiest@bremertonhousing.org,3606167240,3606162815,kwiest@bremertonhousing.org,Standard Performer,MEDIUM LOW (100-299),1856,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Sep,Combined,319,319,198,184,1486,1670,81.54000092,14,2048,1646,98.55999756,438018,462766,901698,897460,0,0,743,725,1106,15.05000019,27.04999924,99.51000214,9714,53,Kitsap,35,80500,2,2017
-122.610717,48.516072,3190,WA010,HA City of Anacortes,3602937831,3602938998,sandy@anacorteshousing.com,3602937831,3602938998,bkclark@anacorteshousing.com,Standard Performer,MEDIUM LOW (100-299),0,VERY SMALL (0-49),MEDIUM LOW (100-299),31-Mar,Low-Rent,112,112,111,111,0,111,100,0,111,111,100,183338,190481,191293,183181,0,0,281,288,106,17.43000031,19.5,99.09999847,12900,53,Skagit,57,940600,1,1036
-122.580599,45.369271,2242,OR001,Housing Authority of Clackamas County,5036558267,5036558676,chuckrob@co.clackamas.or.us,5036505666,5036558676,Chuckrob@co.clackamas.or.us,High Performer,MEDIUM HIGH (300-999),1656,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Combined,546,544,546,534,1412,1946,88.44999695,10,2200,2041,100,1597921,1751241,910854,910635,0,0,834,743,1595,14.02999973,19.85000038,99.22000122,11136,41,Clackamas,5,22301,3,3010
-122.539189,38.005265,2149,CA052,HOUSING AUTHORITY OF COUNTY OF MARIN,4154912525,4154793305,KCarroll@marinhousing.org,4154912530,4154793305,LJordan@marinhousing.org,Standard Performer,MEDIUM HIGH (300-999),2162,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,496,494,496,490,2041,2531,95.29000092,3,2656,2547,100,2482379,2752261,873119,808992,0,0,1462,1324,1139,26.23999977,19.54000092,99.69000244,13404,6,Marin,41,106001,2,2015
-122.47643,48.752999,3191,WA025,Housing Authority City of Bellingham,3606766887,3606767696,jharmon@bwcha.org,3606766887,,jharmon@bwcha.org,High Performer,MEDIUM HIGH (300-999),1786,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,528,527,528,521,1675,2196,94.94000244,3,2313,2220,100,717923,862169,564327,542341,0,0,589,586,1386,19.43000031,24.20999908,99.01000214,10474,53,Whatcom,73,600,1,1003
-122.47643,48.752999,3253,WA041,HA Of Whatcom County,3606766887,3606767696,jharmon@bwcha.org,3603036628,,jharmon@bwcha.org,Standard Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),31-Dec,Low-Rent,63,63,63,61,0,61,96.81999969,2,63,61,100,150946,146046,111964,107070,0,0,359,335,93,3.25999999,9.77999973,100,15744,53,Whatcom,73,600,1,1003
-122.454511,47.159323,3480,WA054,HA Of Pierce County,2536205400,2536205455,cgray@pchawa.org,2536205426,,cgray@pchawa.org,Standard Performer,MEDIUM LOW (100-299),2832,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,125,125,125,117,2587,2704,91.94000244,5,2941,2681,99.15000153,248993,275763,171554,170816,0,0,799,792,2817,9.82999992,20.75,99.40000153,11556,53,Pierce,53,71705,2,2018
-122.453856,47.253845,3479,WA005,HA City of Tacoma,2532074400,2532074440,mmirra@tacomahousing.org,2532074450,2532074440,mmirra@tacomahousing.org,High Performer,MEDIUM HIGH (300-999),4171,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",31-Dec,Combined,437,437,347,331,4231,4567,100,16,4523,4618,100,1122481,2190788,733066,1596447,0,0,801,858,4504,12.98999977,18.04000092,94.05000305,11490,53,Pierce,53,61300,2,2009
-122.427773,37.650373,3336,CA015,City of South San Francisco Housing Authority,6505837631,6505835932,sosfha@sbcglobal.net,6505837631,6505835932,sosfha@sbcglobal.net,High Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),31-Mar,Low-Rent,80,80,80,80,0,80,100,0,80,80,100,39758,31043,130434,124415,0,0,177,162,51,23.44000053,6.21999979,93.75,26240,6,San Mateo,81,602300,1,1085
-122.40067,37.727176,3337,CA001,Housing Authority of the City & County of SF,4157153220,4157153201,smithb@sfha.org,4157153220,,smithb@sfha.org,Standard Performer,"LARGE (1,000-4,999)",11356,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",30-Sep,Combined,2964,2903,2556,2125,9598,11723,87.48000336,188,13401,11730,100,17079583,25967666,6559339,7928465,0,0,1520,1193,5064,28.69000053,14.10999966,99.23999786,12900,6,San Francisco,75,23300,1,1003
-122.396132,40.583567,3498,CA096,COUNTY OF SHASTA HSG AUTH,5302255160,5302255178,jredmond@co.shasta.ca.us,5302255160,5302255178,jredmond@co.shasta.ca.us,,,976,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Jun,Section 8,0,0,0,0,897,897,91.91000366,0,976,926,100,0,0,0,0,0,0,506,544,680,16.68000031,22.44000053,99.77999878,11388,6,Shasta,89,10100,1,1129
-122.381049,40.574264,3526,CA106,HOUSING AUTHORITY OF THE CITY OF REDDING,5302254048,5302254126,gclark@cityofredding.org,5302254064,5302254325,gclark@cityofredding.org,,,1583,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1486,1486,93.87000275,0,1583,1513,100,0,0,0,0,0,0,528,503,1149,14.27000046,22.76000023,97.62000275,11940,6,Shasta,89,10400,1,1001
-122.356518,47.619656,3394,WA001,Seattle Housing Authority,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org,Advisory,"EXTRA LARGE (5,000+)",10646,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",31-Dec,Combined,6922,6775,6042,5580,9430,15010,91.52999878,176,16400,13524,90.09999847,26560774,27511290,10899253,10944289,0,0,714,678,8473,22.53000069,18.18000031,93.86000061,10947,53,King,33,7100,2,2020
-122.346042,37.936001,2148,CA010,Housing Authority of the City of Richmond,5106211358,5102375230,wbounthon@rhaca.org,5106211358,5102375230,wbounthon@rhaca.org,Substandard Financial,MEDIUM HIGH (300-999),1851,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Combined,559,558,559,371,1554,1925,85.18000031,33,2260,2005,100,1659520,2391150,638259,810071,0,0,1109,1019,1285,17.68000031,16.27000046,99.09999847,13500,6,Contra Costa,13,374000,3,3014
-122.327224,48.454068,3254,WA061,Housing Authority of Skagit County,3604281959,3604246005,mcorey@skagitcountyha.org,3604281959,3604246005,mcorey@skagitcountyha.org,,,676,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),30-Sep,Section 8,0,0,0,0,533,533,78.84999847,0,676,523,98.12999725,0,0,0,0,0,0,623,617,354,15.60000038,25.90999985,99.43000031,10956,53,Skagit,57,951800,2,2056
-122.29114,38.298259,3461,CA073,HOUSING AUTHORITY OF THE CITY OF NAPA,7072579543,7072579239,lferrell@cityofnapa.org,7072579501,7072579534,lferrell@cityofnapa.org,,,1392,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1053,1053,75.65000153,0,1392,1097,100,0,0,0,0,0,0,962,962,612,22.29000092,21.44000053,99.26999664,14964,6,Napa,55,200202,1,1010
-122.276472,37.779875,3338,CA062,CITY OF ALAMEDA HOUSING AUTHORITY,5107474300,5105227848,hainfo@alamedahsg.org,5107474325,5105227848,hainfo@alamedahsg.org,Standard Performer,,1845,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1504,1504,81.51000214,0,1845,1430,95.08000183,0,0,0,0,0,0,1618,1459,923,20.60000038,14.47999954,98.87999725,16174,6,Alameda,1,427300,5,5006
-122.272101,37.871463,2132,CA058,BERKELEY HOUSING AUTHORITY,5109815470,5109815480,wwilkins@ci.berkeley.ca.us,5109815471,5109815480,wwilkins@ci.berkeley.ca.us,Standard Performer,,1935,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Section 8,0,0,0,0,1597,1597,82.52999878,0,1935,1569,98.25,0,0,0,0,0,0,1653,1413,753,25.78000069,18.04000092,99.04000092,12324,6,Alameda,1,422900,2,2005
-122.267132,37.52142,3279,CA014,Housing Authority of the County of San Mateo,6508023300,6508023373,kcole@smchousing.org,6508025024,6508023373,kcole@smchousing.org,Standard Performer,VERY SMALL (0-49),4548,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",30-Jun,Combined,30,30,30,30,4379,4409,96.30999756,0,4578,4389,99.55000305,8688,19693,274954,261865,0,0,1360,1349,2881,22.30999947,9.53999996,95.08000183,16884,6,San Mateo,81,609100,1,1011
